index,feel,look,name,smell,taste
0,"{'medium': 89, 'carbonation': 84, 'feel': 60}","{'white': 93, 'hazy': 84, 'pours': 77}","Ayinger Weizenbock","{'banana': 209, 'clove': 150, 'wheat': 125}","{'banana': 130, 'wheat': 83, 'clove': 77}"
1,"{'carbonation': 271, 'medium': 227, 'feel': 179}","{'brown': 331, 'dark': 230, 'pours': 151}","Prior 8","{'fruit': 340, 'dark': 311, 'nose': 248}","{'fruit': 175, 'malt': 169, 'dark': 166}"
2,"{'carbonation': 54, 'feel': 45, 'medium': 43}","{'brown': 82, 'dark': 57, 'pours': 45}","Pannepøt - Old Monk's Ale","{'dark': 101, 'fruit': 93, 'nose': 79}","{'dark': 46, 'fruit': 45, 'caramel': 31}"
3,"{'nice': 6, 'carbonation': 5, 'quite': 4}","{'nice': 4, 'foamy': 3, 'poured': 3}","Bridge Road Pale Ale","{'hop': 11, 'citrus': 7, 'grapefruit': 5}","{'hop': 6, 'citrus': 5, 'grapefruit': 3}"
4,"{'carbonation': 22, 'feel': 17, 'medium': 14}","{'brown': 21, 'dark': 17, 'pours': 9}","Kasteel Winter","{'nose': 23, 'coffee': 23, 'dark': 17}","{'coffee': 13, 'chocolate': 11, 'dark': 6}"
5,"{'carbonation': 54, 'feel': 50, 'alcohol': 48}","{'golden': 69, 'clear': 66, 'pours': 49}","Urbock 23°","{'sweet': 103, 'alcohol': 90, 'malt': 88}","{'alcohol': 88, 'sweet': 72, 'like': 55}"
6,"{'little': 9, 'feel': 9, 'light': 7}","{'dark': 24, 'brown': 12, 'light': 9}","Praga Dark Lager","{'malt': 17, 'sweet': 14, 'dark': 12}","{'sweet': 9, 'dark': 8, 'malt': 8}"
7,"{'hard': 1, 'describe': 1, 'little': 1}","{'yellow': 4, 'golden': 4, 'clear': 3}","Malt's Beer","{'nice': 3, 'malty': 3, 'malt': 2}","{'malty': 4, 'malt': 3, 'light': 3}"
8,"{'carbonation': 5, 'medium': 4, 'element': 3}","{'orange': 6, 'yellow': 5, 'nice': 3}","Jopen Hoppenbier","{'hop': 6, 'like': 5, 'citrus': 5}","{'bitter': 9, 'malt': 6, 'finish': 5}"
9,"{'medium': 6, 'feel': 6, 'end': 5}","{'orange': 4, 'hop': 3, 'pours': 3}","Emelisse TIPA","{'nose': 11, 'hop': 9, 'sweet': 8}","{'hop': 6, 'malt': 6, 'bitter': 5}"
10,"{'carbonation': 6, 'light': 4, 'feel': 4}","{'golden': 5, 'like': 5, 'saison': 3}","IPA Samurai","{'like': 15, 'hop': 6, 'saison': 5}","{'like': 11, 'well': 4, 'saison': 4}"
11,"{'body': 3, 'nice': 3, 'medium': 3}","{'nice': 6, 'poured': 4, 'white': 4}","Klaster Premium","{'malt': 9, 'hop': 8, 'sweet': 5}","{'malt': 5, 'first': 2, 'hop': 2}"
12,"{'caramel': 10, 'medium': 10, 'toffee': 7}","{'clear': 6, 'copper': 6, 'amber': 6}","Zywiec Bock","{'malt': 9, 'caramel': 8, 'sweet': 8}","{'sweet': 5, 'malt': 5, 'bit': 3}"
13,"{'feel': 3, 'malt': 3, 'plenty': 3}","{'orange': 4, 'amber': 3, 'white': 3}","De Prael Barley Wine","{'like': 5, 'malt': 4, 'nose': 3}","{'sweet': 6, 'booze': 4, 'flavor': 4}"
14,"{'light': 2, 'gold': 1, 'cleare': 1}","{'golden': 4, 'white': 3, 'amber': 2}","Okocim Jasne Pelne","{'malt': 5, 'sweet': 3, 'crisp': 3}","{'malt': 2, 'light': 2, 'pleasant': 2}"
15,"{'carbonation': 14, 'feel': 14, 'medium': 13}","{'white': 20, 'amber': 17, 'pours': 15}","Hevelius Kaper","{'malt': 39, 'sweet': 30, 'alcohol': 22}","{'malt': 20, 'sweet': 19, 'alcohol': 18}"
16,"{'feel': 11, 'carbonation': 8, 'sweet': 7}","{'black': 14, 'pours': 8, 'thick': 8}",Agamemnon,"{'chocolate': 23, 'malt': 21, 'maple': 20}","{'chocolate': 18, 'dark': 15, 'maple': 14}"
17,"{'feel': 7, 'smooth': 5, 'bourbon': 4}","{'black': 6, 'dark': 4, 'tan': 3}","Aon Pecan Mud Cake - Bourbon Barrel-Aged","{'chocolate': 11, 'bourbon': 9, 'nose': 6}","{'bourbon': 11, 'chocolate': 11, 'sweet': 6}"
18,"{'carbonation': 4, 'finish': 3, 'crisp': 3}","{'hazy': 5, 'white': 4, 'yellow': 3}","Perikles Pilsner","{'malt': 6, 'hop': 5, 'citrus': 5}","{'hop': 6, 'light': 6, 'lemon': 5}"
19,"{'feel': 14, 'peach': 12, 'medium': 9}","{'hazy': 12, 'white': 10, 'pours': 9}","Shoutao Peach Slush IPA","{'peach': 30, 'malt': 10, 'nose': 10}","{'peach': 22, 'flavor': 8, 'like': 7}"
20,"{'medium': 4, 'body': 3, 'well': 2}","{'yellow': 4, 'hazy': 3, 'body': 2}",Muscles,"{'pineapple': 4, 'mango': 3, 'grassy': 2}","{'orange': 4, 'pineapple': 3, 'sweet': 2}"
21,"{'medium': 4, 'bitter': 4, 'yeast': 3}","{'golden': 5, 'copper': 4, 'foam': 4}","Bedarö Bitter","{'hop': 15, 'malt': 10, 'nose': 8}","{'bitter': 9, 'malt': 8, 'sweet': 5}"
22,"{'feel': 6, 'medium': 4, 'carbonation': 4}","{'dark': 2, 'thanks': 1, 'man': 1}","Valsviken Vinterporter","{'dark': 7, 'fruit': 7, 'nose': 7}","{'fruit': 3, 'bitterness': 3, 'dark': 3}"
23,"{'feel': 5, 'medium': 4, 'carbonation': 4}","{'nice': 6, 'pours': 5, 'j': 5}",Julöl,"{'malt': 8, 'hop': 6, 'lot': 5}","{'bitterness': 6, 'sweetness': 5, 'malt': 5}"
24,"{'feel': 12, 'light': 9, 'medium': 6}","{'hazy': 8, 'pours': 7, 'cloudy': 4}",Abrahadabra,"{'strawberry': 17, 'hop': 15, 'vanilla': 13}","{'strawberry': 14, 'vanilla': 9, 'hop': 7}"
25,"{'coffee': 16, 'carbonation': 10, 'medium': 10}","{'brown': 13, 'black': 12, 'dark': 8}","Coffee Stout","{'coffee': 48, 'roasted': 24, 'chocolate': 24}","{'coffee': 40, 'chocolate': 21, 'bitter': 13}"
26,"{'body': 3, 'good': 2, 'medium': 2}","{'amber': 4, 'clear': 3, 'light': 3}",Baronen,"{'fruit': 9, 'malt': 5, 'caramel': 5}","{'caramel': 4, 'flavor': 3, 'light': 2}"
27,"{'medium': 8, 'carbonation': 5, 'body': 4}","{'hazy': 7, 'white': 5, 'slightly': 4}",Mackaper,"{'citrus': 10, 'lemon': 9, 'malt': 8}","{'lemon': 6, 'sweet': 5, 'citrus': 5}"
28,"{'carbonation': 2, 'full': 1, 'bodied': 1}","{'black': 6, 'brown': 3, 'l': 3}",Brush,"{'chocolate': 9, 'vanilla': 5, 'coffee': 4}","{'chocolate': 6, 'coffee': 4, 'vanilla': 4}"
29,"{'feel': 427, 'carbonation': 368, 'smooth': 355}","{'black': 637, 'dark': 430, 'brown': 354}","Imperial Stout","{'chocolate': 1051, 'dark': 837, 'coffee': 772}","{'chocolate': 640, 'coffee': 501, 'dark': 481}"
30,"{'medium': 15, 'carbonation': 15, 'bodied': 8}","{'white': 11, 'golden': 9, 'look': 6}",Leon,"{'yeast': 20, 'hop': 20, 'belgian': 16}","{'yeast': 12, 'hop': 10, 'dry': 10}"
31,"{'light': 3, 'medium': 3, 'passionfruit': 3}","{'hazy': 4, 'white': 4, 'yellow': 4}","Passionfeber IPA","{'light': 5, 'citrus': 3, 'sweet': 3}","{'orange': 3, 'light': 3, 'fruity': 3}"
32,"{'nice': 4, 'hop': 3, 'body': 3}","{'dark': 4, 'amber': 3, 'like': 3}","Örebro Bitter","{'hop': 8, 'fruity': 5, 'sweet': 5}","{'great': 4, 'bitter': 4, 'sweet': 3}"
33,"{'carbonation': 4, 'bit': 4, 'refreshing': 4}","{'nice': 5, 'yellow': 5, 'white': 4}",CAmarillo,"{'fruit': 10, 'nose': 6, 'hop': 6}","{'hop': 5, 'fruit': 5, 'tasting': 4}"
34,"{'carbonation': 7, 'feel': 7, 'medium': 6}","{'white': 9, 'hazy': 9, 'golden': 8}",Bergsmansöl,"{'hop': 14, 'malt': 9, 'nose': 9}","{'hop': 15, 'malt': 7, 'nice': 7}"
35,"{'smooth': 5, 'medium': 5, 'carbonation': 4}","{'black': 3, 'dark': 3, 'look': 2}","Sigtuna Midvinterblot (2012 - )","{'chocolate': 13, 'dark': 12, 'roasted': 6}","{'chocolate': 9, 'coffee': 5, 'dark': 4}"
36,"{'medium': 5, 'body': 4, 'smooth': 3}","{'amber': 4, 'nice': 3, 'white': 3}","Indian Tribute","{'hop': 13, 'citrus': 4, 'nose': 4}","{'hop': 8, 'malt': 6, 'ipa': 4}"
37,"{'carbonation': 11, 'smooth': 8, 'body': 6}","{'brown': 4, 'molasses': 4, 'smoke': 4}",Rökporter,"{'smoke': 17, 'chocolate': 16, 'smoked': 16}","{'chocolate': 10, 'coffee': 9, 'smoke': 9}"
38,"{'smooth': 3, 'finish': 3, 'medium': 3}","{'yellow': 7, 'pours': 4, 'hazy': 4}",Beglo,"{'citrus': 9, 'malt': 6, 'grapefruit': 6}","{'grapefruit': 6, 'light': 5, 'lot': 4}"
39,"{'carbonation': 4, 'really': 4, 'good': 3}","{'pours': 4, 'dark': 3, 'amber': 3}","Bötet Barley Wine","{'sweet': 7, 'raisin': 7, 'fruit': 6}","{'sweet': 7, 'note': 4, 'lot': 3}"
40,"{'feel': 4, 'medium': 3, 'fruit': 3}","{'amber': 5, 'clear': 3, 'leaf': 3}",Amarillo,"{'fruit': 10, 'hop': 5, 'citrus': 5}","{'sweet': 4, 'malt': 4, 'nice': 3}"
41,"{'feel': 6, 'full': 5, 'finish': 4}","{'look': 4, 'stout': 3, 'impressive': 2}",Prodromus,"{'nose': 9, 'chocolate': 9, 'caramel': 7}","{'caramel': 7, 'chocolate': 6, 'bit': 5}"
42,"{'light': 6, 'medium': 6, 'acidic': 4}","{'white': 6, 'nice': 4, 'hazy': 4}",Aniara,"{'lemon': 14, 'hop': 6, 'citrus': 5}","{'lemon': 11, 'like': 7, 'sour': 6}"
